,ave_household_size,median_income,rental_vacancy_rate,p_units_1_detached,p_units_1,p_units_2,p_units_34,p_units_59,p_units_10,p_units_20,p_built_2014,p_built_2010,p_built_2000,p_built_1990,p_built_1980,p_built_1970,p_built_1960,p_built_1950,p_built_1940,p_built_1930,median_rooms,median_rent,median-value
1,2.46,40724.0,26.8,69.7,0.0,11.2,2.3,0.0,3.7,0.9,0.0,0.0,5.4,12.4,12.8,20.1,19.3,10.9,7.6,11.5,5.4,553.0,80200.0
2,2.73,49077.0,3.4,90.9,0.6,0.0,0.0,0.0,1.2,0.0,0.0,0.5,3.0,10.7,7.1,20.5,31.2,13.3,8.3,5.5,5.9,862.0,97100.0
3,2.14,35250.0,0.0,66.0,0.0,7.4,2.7,3.2,0.0,0.8,0.0,0.0,11.2,27.4,12.0,22.3,13.3,6.6,3.5,3.7,5.8,356.0,75100.0
4,2.85,19821.0,0.0,63.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,7.5,19.5,9.0,9.0,5.5,14.5,19.0,14.5,4.7,533.0,38800.0
5,2.97,74383.0,7.2,84.8,3.2,0.6,1.2,2.8,1.4,0.9,0.1,2.0,24.1,35.3,15.5,15.0,4.0,2.3,1.0,0.6,6.6,983.0,167800.0
6,2.94,37619.0,1.7,80.4,0.7,2.2,5.1,4.5,1.4,0.7,0.1,1.3,8.5,16.4,16.1,28.3,15.5,7.4,4.2,2.3,5.8,617.0,114700.0
7,2.42,32337.0,4.1,73.3,0.4,6.7,4.3,5.2,2.4,2.2,2.3,0.5,5.8,15.9,18.2,17.0,12.6,15.7,7.8,4.1,5.4,601.0,105200.0
8,2.74,70656.0,0.0,79.2,0.0,0.0,8.2,0.0,0.0,0.0,0.0,1.7,12.6,31.5,25.0,20.8,1.7,1.1,1.2,4.4,6.3,736.0,120300.0
9,2.54,24097.0,3.1,64.9,1.1,22.6,5.9,2.4,0.0,0.6,0.0,2.5,2.4,8.1,5.5,38.6,17.7,11.3,7.5,6.3,5.7,493.0,102800.0
10,2.82,40469.0,11.9,57.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,8.2,18.0,29.3,15.6,10.2,2.3,4.7,5.1,431.0,94500.0
11,2.4,38438.0,4.2,57.8,0.7,9.5,2.3,16.9,0.7,0.0,0.0,3.5,11.8,13.7,14.2,15.1,18.1,8.6,4.2,10.9,5.0,419.0,79000.0
12,2.36,36101.0,10.0,82.3,0.2,1.4,3.6,8.2,0.6,1.7,0.3,4.2,4.5,12.7,11.5,19.1,18.5,13.5,7.2,8.5,5.6,613.0,110400.0
13,2.42,47000.0,17.1,89.4,0.8,0.8,6.8,0.0,0.0,0.0,1.5,0.0,3.8,12.9,8.3,29.5,17.4,8.3,11.4,6.8,6.1,1038.0,115100.0
14,2.2,32070.0,6.4,73.4,2.8,3.8,4.7,8.2,1.8,4.3,0.0,0.1,5.9,6.3,9.4,17.3,17.0,17.3,15.3,11.5,5.6,605.0,95700.0
15,2.62,43884.0,5.7,78.9,1.0,4.7,4.2,6.4,1.5,1.2,0.2,1.3,11.5,14.9,19.3,20.1,18.5,7.7,3.0,3.5,6.0,564.0,143800.0
16,2.67,38000.0,0.0,80.9,1.3,1.7,7.7,4.5,1.3,0.5,2.7,1.7,19.1,13.1,18.3,19.3,11.1,6.0,6.9,2.0,5.7,735.0,109600.0
17,2.71,61369.0,14.0,70.6,2.3,0.0,0.0,0.0,0.0,0.0,0.8,9.7,36.6,29.0,8.6,3.9,5.1,0.0,6.3,0.0,6.0,442.0,171200.0
18,2.97,25909.0,17.3,56.8,0.0,14.1,1.4,0.0,0.0,0.0,0.0,0.0,9.5,8.4,5.7,14.9,19.0,17.4,14.1,10.9,5.5,429.0,104700.0
19,2.78,31932.0,0.0,69.8,0.9,6.5,0.0,0.0,0.0,0.0,0.9,0.0,10.7,18.1,20.0,14.9,19.5,7.9,4.7,3.3,5.7,443.0,100000.0
20,2.74,43527.0,8.5,80.6,0.0,8.8,1.6,0.2,0.5,0.0,0.8,2.9,19.1,10.9,10.7,15.4,13.0,17.9,5.9,3.4,5.7,635.0,128500.0
21,2.2,27264.0,3.4,68.4,0.4,12.3,9.2,4.0,0.0,1.2,0.0,0.0,12.5,9.3,13.5,20.8,15.4,10.8,10.3,7.3,5.9,391.0,133000.0
22,3.12,50776.0,39.9,70.3,1.6,0.0,0.4,0.0,0.0,0.6,0.0,2.2,24.7,23.3,13.6,12.3,1.6,12.1,3.1,7.1,5.9,1060.0,115600.0
23,2.61,47741.0,3.1,71.4,4.2,1.6,2.9,7.2,4.2,4.6,0.6,4.2,20.9,12.9,14.3,17.2,13.9,8.9,2.5,4.7,5.9,613.0,143800.0
24,2.54,28443.0,18.8,70.1,0.0,3.7,8.7,6.4,1.5,1.5,1.4,0.2,2.2,27.4,23.0,13.8,11.8,12.8,3.9,3.4,5.2,570.0,99100.0
25,2.58,40375.0,15.3,81.3,0.7,6.8,0.2,3.3,0.4,1.9,0.0,0.0,4.9,5.2,13.7,13.4,17.1,23.4,7.8,14.4,5.5,641.0,78000.0
26,2.5,42600.0,6.8,44.2,4.4,9.2,3.9,8.9,13.3,11.9,2.4,9.4,27.5,22.1,13.2,11.8,6.7,4.2,1.2,1.5,5.0,848.0,236200.0
27,2.27,25833.0,7.2,51.8,0.0,0.0,0.6,1.7,4.3,1.3,0.0,1.5,9.5,32.0,13.2,12.3,15.8,8.0,2.4,5.4,5.3,506.0,51500.0
28,2.43,36250.0,6.1,51.9,0.0,0.0,1.4,0.0,0.0,0.0,0.0,3.7,9.3,37.0,9.3,12.5,10.2,7.9,6.5,3.7,5.1,607.0,104500.0
29,3.18,49915.0,0.0,89.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,33.5,12.4,19.5,6.8,24.7,0.0,0.0,0.0,5.8,1072.0,118100.0
30,2.33,34375.0,0.0,68.5,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,16.5,27.5,25.6,15.4,7.0,1.8,0.0,5.5,5.3,529.0,80000.0
31,2.82,32989.0,0.0,84.4,0.6,1.2,0.6,0.0,0.0,0.0,0.0,0.0,11.8,22.6,14.4,19.1,13.5,8.8,4.1,5.6,5.7,803.0,106300.0
34,2.29,38333.0,20.7,80.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,24.4,11.0,22.0,0.0,23.2,7.3,9.8,5.4,613.0,131300.0
35,2.85,31310.0,8.8,70.5,1.5,7.8,3.9,4.8,1.8,2.7,0.1,2.6,11.6,18.1,18.0,20.9,11.9,8.6,4.7,3.6,5.3,579.0,121400.0
36,3.4,40000.0,0.0,75.0,1.0,0.3,11.4,5.3,0.6,0.7,0.0,0.0,33.9,9.0,12.3,16.1,14.3,4.9,5.2,4.3,5.0,684.0,78200.0
37,2.54,33029.0,0.0,63.4,0.0,3.6,0.0,0.0,0.0,0.0,0.0,11.0,7.8,12.4,17.5,35.6,6.1,6.1,2.3,1.1,5.7,522.0,73600.0
38,2.31,17679.0,0.0,58.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,31.6,16.3,16.8,16.8,1.0,0.5,12.2,5.5,583.0,30800.0
39,2.1,36250.0,35.7,59.2,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,6.9,8.0,12.6,27.6,21.3,12.1,2.3,9.2,5.0,430.0,40000.0
42,1.92,17340.0,0.0,62.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.9,14.2,2.9,18.0,18.3,9.0,0.0,11.6,5.1,509.0,52100.0
45,2.39,25938.0,0.0,46.3,0.0,10.3,5.1,3.8,1.7,0.0,1.8,4.0,14.4,26.4,9.4,17.8,4.8,8.9,6.9,5.7,5.2,247.0,54500.0
46,2.47,31308.0,7.2,76.9,1.7,4.9,3.4,5.4,3.1,2.8,0.3,1.5,7.7,3.9,6.7,16.7,17.1,20.0,12.2,14.0,5.6,751.0,84000.0
48,2.26,33770.0,9.0,60.4,1.5,2.2,4.8,9.2,10.1,11.0,0.7,1.7,7.4,6.5,9.2,14.4,14.5,20.1,9.5,16.1,5.2,770.0,86900.0
49,2.14,30938.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7,13.5,16.9,14.6,4.5,16.9,18.0,5.1,613.0,70000.0
50,2.83,27241.0,18.3,59.1,1.8,13.8,4.0,5.0,0.0,0.7,0.0,2.1,4.5,13.6,13.3,27.8,14.9,5.8,8.0,10.1,5.0,529.0,106100.0
53,2.68,41488.0,6.1,80.6,0.9,4.8,3.6,2.7,0.0,3.4,0.0,0.7,7.5,11.0,11.3,24.2,20.7,13.0,4.4,7.2,5.8,620.0,111400.0
54,2.58,10313.0,4.1,33.1,0.0,2.8,0.0,10.1,8.4,22.3,0.0,0.0,2.8,20.6,38.0,15.0,7.0,7.0,5.9,3.8,4.5,518.0,63300.0
55,2.86,33125.0,0.0,53.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,25.5,4.3,17.0,17.0,4.3,14.9,12.8,5.7,638.0,68300.0
58,2.51,24519.0,7.5,69.4,2.2,17.4,2.5,1.3,0.0,1.1,0.0,0.0,1.3,2.5,16.1,32.7,12.1,9.8,5.1,20.4,5.5,414.0,91100.0
60,2.9,35284.0,9.9,71.2,1.4,7.5,5.0,4.2,2.2,0.0,0.0,3.7,7.2,11.2,19.3,20.9,19.3,3.8,13.9,0.7,5.3,490.0,99700.0
61,2.32,40342.0,5.9,80.2,0.5,5.3,8.0,1.4,0.7,0.9,0.0,1.4,3.8,15.0,26.6,14.8,16.3,15.7,2.0,4.5,5.4,612.0,108000.0
62,2.26,30852.0,17.8,66.1,1.4,9.4,1.0,6.8,0.9,0.0,0.0,0.5,6.4,7.9,12.3,25.2,21.1,10.2,9.4,6.8,5.4,460.0,68000.0
63,2.58,25510.0,26.1,83.0,0.0,4.1,0.7,2.2,1.6,3.4,0.0,0.4,0.8,5.5,3.7,8.7,21.8,31.8,15.3,12.0,5.5,721.0,57700.0
64,2.35,25880.0,0.0,63.8,0.8,5.8,7.2,4.1,0.0,1.6,0.0,0.0,11.3,7.8,13.8,25.7,11.9,13.0,7.0,9.5,5.3,325.0,70900.0
67,2.65,35417.0,2.5,60.4,3.0,4.4,3.0,5.4,0.0,0.9,0.0,0.0,11.6,8.1,14.9,34.7,6.7,14.4,7.9,1.9,5.2,556.0,84100.0
68,2.87,57844.0,0.0,73.8,0.0,0.0,0.0,0.0,0.0,0.0,1.5,7.1,38.3,17.2,12.7,13.6,4.4,2.9,0.4,1.9,5.3,895.0,129400.0
70,2.56,24408.0,20.7,77.1,0.5,5.2,3.1,3.5,1.4,0.1,0.0,0.4,2.5,6.5,13.0,22.7,16.3,11.0,10.9,16.7,5.1,500.0,77700.0
72,2.25,31200.0,3.2,66.4,1.5,0.0,4.7,13.6,0.0,6.3,0.0,0.8,7.9,20.5,20.1,10.5,17.0,21.5,0.5,1.0,5.5,497.0,85700.0
73,2.66,64129.0,17.9,87.2,4.3,1.5,1.3,0.6,1.2,0.5,1.7,14.0,58.3,8.9,4.0,4.5,1.7,3.1,2.1,1.7,5.7,1058.0,141000.0
75,2.88,33295.0,0.0,70.9,1.0,0.5,16.9,4.6,0.0,0.2,0.0,0.0,5.1,16.2,16.9,29.4,14.9,9.4,0.8,7.2,5.6,457.0,110700.0
76,2.48,26458.0,9.9,59.2,1.5,5.1,5.9,4.3,0.0,0.0,0.0,2.5,7.9,13.7,4.1,24.3,13.2,2.0,9.9,22.5,5.1,338.0,56500.0
77,2.3,30278.0,2.6,64.8,0.5,2.7,10.8,9.3,0.4,1.6,0.6,1.4,12.1,4.0,11.6,26.1,14.3,8.1,7.7,14.2,5.4,553.0,56300.0
79,3.14,37206.0,0.0,60.3,1.3,0.0,0.0,0.0,0.0,0.0,1.9,1.2,9.2,24.3,19.2,20.0,7.4,10.9,3.9,1.8,5.8,672.0,88900.0
81,2.38,58750.0,0.0,76.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,13.7,25.5,14.4,17.0,11.8,4.6,1.3,1.3,6.5,656.0,150400.0
82,2.81,26176.0,7.2,61.4,1.6,15.6,5.6,2.6,4.0,1.2,0.0,1.4,8.6,20.0,8.6,14.4,23.7,9.5,2.8,10.9,5.3,381.0,87100.0
83,2.0,20000.0,0.0,52.3,0.0,3.9,6.3,3.6,0.0,1.2,0.0,2.1,3.3,25.2,17.4,22.5,8.1,6.6,4.5,10.2,5.0,323.0,51000.0
85,2.27,33264.0,3.9,57.0,2.4,4.9,3.5,3.3,2.2,2.7,0.0,2.2,23.2,23.7,9.0,20.7,11.2,5.7,1.2,3.1,5.3,561.0,89600.0
86,2.66,39150.0,6.2,70.7,2.1,0.8,8.5,8.5,6.7,1.9,0.0,0.7,9.1,5.9,11.3,30.1,20.9,18.9,2.6,0.5,5.7,844.0,98200.0
87,2.01,29700.0,14.1,67.8,1.0,7.9,3.4,3.1,3.7,4.9,0.0,3.1,10.1,18.8,7.9,21.4,17.3,11.5,3.8,6.2,5.6,415.0,95500.0
88,2.96,47750.0,0.0,77.1,0.0,0.0,3.6,6.7,3.0,2.9,0.0,5.1,6.7,10.5,17.5,12.8,24.7,8.1,4.6,9.9,5.6,623.0,121700.0
89,2.32,42109.0,10.1,77.2,0.0,2.1,3.7,2.2,0.0,0.0,0.0,0.0,21.9,11.4,10.9,3.7,21.2,16.5,9.7,4.7,5.7,547.0,111300.0
90,3.06,96591.0,21.5,93.7,0.9,0.0,0.8,0.5,0.0,0.0,0.8,9.9,61.4,18.0,4.4,4.2,0.9,0.0,0.5,0.0,7.0,1516.0,221900.0
91,2.21,25703.0,22.3,79.5,0.0,3.2,1.2,0.6,0.0,0.6,0.0,1.6,7.5,4.3,6.7,20.3,32.9,19.1,3.9,3.9,5.4,675.0,68300.0
92,2.78,30929.0,15.3,80.9,1.2,11.2,5.1,0.0,0.0,1.4,0.0,0.6,1.8,1.4,7.1,14.0,34.7,18.9,11.4,10.0,5.4,901.0,79200.0
93,2.25,35100.0,0.0,56.6,2.8,8.0,10.9,4.0,1.0,2.5,0.0,0.0,5.5,17.7,9.7,18.7,22.3,20.0,3.9,2.2,5.4,572.0,103200.0
96,2.68,41927.0,13.4,74.9,0.0,6.7,2.0,1.6,0.0,0.0,0.0,3.1,16.7,13.7,24.7,13.3,3.6,6.8,5.2,12.9,5.7,752.0,109000.0
97,2.46,41935.0,5.7,74.5,4.4,8.4,1.2,5.2,2.0,1.6,1.1,4.1,18.7,6.6,11.8,23.8,10.0,12.9,2.1,9.0,5.8,634.0,110700.0
98,2.78,74712.0,14.2,92.1,0.8,0.0,0.0,0.0,0.0,6.2,0.0,0.5,27.5,27.4,18.5,17.7,3.2,2.7,1.8,0.7,6.6,888.0,153000.0
99,2.41,34063.0,15.7,66.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,5.5,16.4,21.1,13.5,21.5,17.1,2.9,0.0,5.5,581.0,100000.0
100,2.63,24643.0,4.6,57.7,1.3,8.9,4.8,3.0,1.8,0.0,0.0,1.0,8.1,15.5,12.9,14.4,18.5,7.0,8.3,14.4,5.7,384.0,75800.0
101,2.57,35066.0,0.0,77.5,2.5,0.6,0.0,0.0,0.0,0.0,0.0,1.3,12.1,24.6,14.4,20.2,7.9,2.9,7.9,8.8,5.8,720.0,98700.0
102,2.69,20610.0,19.8,45.5,0.0,0.0,7.3,5.1,0.0,0.0,0.0,1.5,3.3,22.0,14.2,16.4,11.3,7.5,9.3,14.6,5.5,455.0,35300.0
103,3.07,63542.0,0.0,70.5,0.0,0.0,0.0,0.0,0.0,0.0,1.2,3.3,31.0,18.3,21.6,9.8,8.7,3.3,1.6,1.4,5.7,782.0,149600.0
104,3.17,44673.0,25.6,52.6,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.4,28.6,9.2,19.1,0.0,1.4,3.5,7.8,6.0,709.0,84800.0
105,2.17,30000.0,0.0,88.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,4.9,29.3,17.9,11.4,4.9,22.0,5.8,675.0,85500.0
106,2.96,25625.0,11.8,69.3,3.2,0.0,7.2,0.0,0.0,0.0,0.0,1.2,9.2,12.7,26.7,10.4,12.0,12.7,4.4,10.8,5.9,592.0,105000.0
107,2.83,49773.0,0.0,91.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,2.5,5.9,22.1,14.0,16.5,12.1,8.1,7.5,11.2,6.0,687.0,163600.0
108,3.02,30139.0,10.7,49.8,1.0,7.1,3.4,3.4,0.0,0.0,0.0,0.0,6.6,23.3,24.3,14.4,9.4,3.4,6.0,12.5,5.1,461.0,71500.0
109,2.95,36500.0,0.0,53.4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,7.4,7.4,30.2,12.2,19.6,15.3,4.2,0.0,3.2,5.9,725.0,88500.0
110,2.11,33295.0,0.0,76.0,0.0,8.5,1.9,0.0,1.1,0.8,0.8,3.6,6.3,6.3,11.2,12.3,18.0,11.2,13.7,16.7,5.6,475.0,77700.0
111,2.33,40617.0,5.6,53.4,0.0,3.2,11.0,11.3,9.0,4.0,0.0,6.6,8.0,19.6,12.9,23.7,9.2,10.7,2.5,6.8,5.6,573.0,157000.0
112,2.48,57464.0,0.0,98.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,10.8,11.2,4.6,13.7,16.2,18.3,17.7,3.1,6.1,1102.0,150700.0
113,2.61,45104.0,12.4,77.2,0.0,0.0,0.0,0.0,0.0,0.4,1.0,3.5,12.1,29.8,13.6,16.6,10.9,6.6,1.0,4.9,6.1,766.0,156300.0
114,2.32,22901.0,0.0,56.8,0.0,7.2,9.2,9.7,4.5,0.7,0.0,1.3,5.1,4.0,9.9,17.4,24.8,9.3,7.4,21.0,4.8,508.0,66200.0
115,3.18,51875.0,8.1,53.7,1.9,0.0,0.0,2.8,8.8,2.8,0.0,1.9,11.5,23.4,14.2,11.8,16.6,16.8,3.1,0.7,5.5,787.0,117500.0
116,2.57,28938.0,0.0,62.6,1.3,7.3,3.0,0.0,0.0,0.0,2.8,0.5,8.2,15.3,18.0,17.5,14.2,12.3,6.2,5.0,5.3,460.0,77700.0
118,2.38,36806.0,0.0,71.8,0.5,3.7,0.0,11.2,0.0,0.0,0.0,0.0,2.0,19.2,17.0,9.0,11.2,9.7,13.2,18.7,5.6,522.0,83900.0
119,2.67,38661.0,6.5,67.3,0.2,0.0,0.0,0.0,1.1,5.9,5.9,7.2,24.5,18.6,9.1,24.4,5.1,3.4,1.3,0.7,5.4,759.0,98500.0
120,2.79,54732.0,8.6,72.4,1.4,0.0,0.0,0.0,0.0,0.0,0.4,2.9,12.9,27.4,15.1,22.1,10.1,5.4,2.4,1.3,5.4,818.0,115900.0
121,2.69,30739.0,2.1,70.1,0.3,6.5,4.6,2.2,0.0,0.0,0.0,2.0,11.8,15.2,14.5,24.5,13.8,8.3,4.5,5.5,5.9,520.0,104200.0
122,2.16,41406.0,0.0,88.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,9.5,4.6,7.1,18.7,14.9,10.8,5.8,28.2,5.7,669.0,95000.0
123,2.41,42885.0,8.7,65.5,2.5,6.7,3.4,11.9,4.2,3.9,1.1,1.3,10.6,16.5,12.2,22.0,14.9,9.9,6.6,4.8,5.4,622.0,140700.0
126,2.67,30690.0,14.5,65.6,2.6,6.7,0.0,7.5,2.8,0.7,1.8,0.0,8.0,9.1,23.6,15.4,16.9,4.3,16.5,4.2,5.1,651.0,103000.0
127,2.49,38657.0,13.4,39.7,9.9,2.3,12.9,10.5,3.1,1.8,0.0,0.3,12.3,15.3,26.6,14.3,22.3,5.9,1.4,1.5,4.7,679.0,96300.0
128,2.65,65739.0,11.5,74.1,1.5,0.8,6.4,5.4,8.0,3.4,1.5,8.6,18.8,24.6,24.5,13.6,3.5,2.0,1.4,1.6,6.1,1027.0,189700.0
129,2.32,79323.0,68.4,82.2,0.6,1.6,9.7,4.9,0.5,0.6,0.5,1.6,23.2,24.4,17.5,19.2,7.0,5.3,0.7,0.5,5.0,993.0,227500.0
130,2.56,41250.0,0.0,73.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8,12.2,13.0,0.0,10.4,15.7,7.0,13.9,5.6,575.0,56500.0
132,2.99,72500.0,0.0,88.4,0.0,0.0,0.0,0.0,0.0,0.0,2.7,9.9,46.7,12.1,5.6,7.5,5.8,4.8,0.0,4.8,6.7,1125.0,191000.0
133,2.44,43176.0,8.2,68.5,4.6,2.1,5.3,9.5,4.5,4.4,0.1,1.5,7.7,14.9,18.6,20.5,17.9,10.5,3.8,4.6,5.7,625.0,130600.0
136,2.33,26908.0,6.3,67.1,0.9,1.7,3.4,13.1,2.7,0.5,0.2,0.7,9.1,18.2,17.1,17.9,16.6,7.5,6.8,5.8,5.4,508.0,115500.0
137,1.93,23750.0,39.6,56.8,1.7,22.0,11.0,0.0,0.0,0.0,7.6,0.8,0.8,1.7,11.9,29.7,32.2,5.1,2.5,7.6,5.1,220.0,71400.0
138,2.44,36406.0,0.0,83.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,17.9,12.1,12.5,18.3,16.1,7.7,10.3,2.6,5.7,724.0,121900.0
139,2.57,36364.0,0.0,66.0,0.4,6.7,1.2,3.4,0.0,0.4,0.7,3.8,22.2,11.8,10.1,17.5,7.8,8.1,10.3,7.9,6.0,398.0,95800.0
140,2.57,43316.0,10.9,71.4,1.8,3.6,5.2,6.4,3.8,2.8,0.8,3.2,14.3,15.3,14.9,22.2,11.8,11.4,3.6,2.5,5.6,718.0,143800.0
141,2.79,25385.0,0.0,60.1,1.3,11.5,0.6,5.1,0.8,0.0,0.0,4.7,7.9,7.9,24.1,18.8,12.2,9.0,7.5,7.7,5.6,388.0,79800.0
142,3.34,41667.0,0.0,64.4,0.3,18.2,1.8,0.0,0.0,0.0,0.0,0.0,14.9,18.7,14.9,23.5,12.6,13.1,1.8,0.5,5.8,388.0,79600.0
143,2.59,21827.0,19.4,56.6,2.5,25.2,0.0,0.0,0.0,0.0,0.0,0.6,10.7,2.5,3.8,23.3,15.7,11.9,11.9,19.5,5.4,363.0,58300.0
145,2.94,40000.0,42.9,76.5,2.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,5.9,24.2,3.3,24.8,23.5,9.2,5.9,3.3,6.1,590.0,89000.0
146,2.62,30601.0,10.5,56.3,0.0,4.9,4.9,22.0,2.0,0.8,0.0,0.0,5.5,30.7,19.0,17.6,9.8,11.6,2.5,3.2,4.9,549.0,83300.0
148,2.56,42500.0,0.0,75.9,0.0,0.0,3.9,0.0,0.0,0.0,0.0,6.0,3.4,12.9,14.9,21.6,17.5,4.1,5.8,13.8,5.5,744.0,108300.0
149,2.72,30547.0,25.2,62.7,0.0,6.5,7.1,0.0,0.0,0.0,0.0,1.8,18.3,27.4,11.4,0.0,4.7,12.8,13.4,10.3,5.4,794.0,76900.0
150,2.95,42045.0,0.0,70.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,5.2,21.9,9.4,11.5,18.8,2.1,7.3,16.7,5.4,459.0,103700.0
152,2.6,31000.0,5.4,71.1,2.6,5.2,5.8,3.5,1.2,0.0,0.4,0.0,8.9,12.5,12.3,18.7,21.2,17.9,4.7,3.4,5.7,575.0,99700.0
153,2.36,36333.0,9.6,45.3,2.8,8.3,3.4,8.0,0.0,0.0,0.0,3.9,14.9,34.1,16.6,10.8,6.6,5.7,3.8,3.7,4.7,703.0,109900.0
155,2.72,52857.0,0.0,82.2,0.0,1.1,0.5,7.0,1.1,0.5,2.7,1.6,21.6,16.2,6.5,11.4,14.6,5.9,3.2,16.2,5.9,250.0,130100.0
156,3.36,29464.0,4.2,43.3,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7,47.5,5.3,8.9,8.3,2.8,1.9,3.8,5.1,811.0,65600.0
158,3.17,90682.0,0.0,92.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,49.9,22.6,4.7,0.0,2.2,0.0,5.7,6.8,7.0,1483.0,220200.0
159,2.56,54304.0,10.7,75.7,6.4,2.8,5.2,8.1,0.6,0.4,0.7,3.4,23.2,13.7,14.5,18.0,11.4,8.3,5.1,1.7,5.6,819.0,171900.0
160,2.34,20729.0,0.0,72.6,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,20.4,23.0,12.4,21.2,3.5,9.7,9.7,5.0,625.0,64300.0
162,2.58,33444.0,12.2,62.3,1.6,7.9,5.9,6.4,2.1,0.8,0.1,1.2,4.9,15.8,21.6,20.7,14.7,8.2,6.1,6.7,5.5,583.0,120600.0
164,2.67,21667.0,3.1,64.6,1.0,0.0,0.0,3.9,1.8,13.8,0.0,0.0,7.9,8.5,16.3,23.6,12.9,5.1,9.9,15.7,5.4,422.0,80300.0
165,2.86,56406.0,20.8,92.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,16.1,19.3,12.9,14.5,15.3,0.0,8.0,6.2,688.0,151600.0
166,2.95,22031.0,9.1,58.6,0.8,6.1,15.0,4.6,0.0,1.9,0.0,2.4,7.5,14.0,24.2,18.2,16.4,8.4,1.6,7.3,5.1,563.0,89700.0
167,3.14,40625.0,11.8,87.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.9,15.3,14.8,24.5,8.7,7.0,0.0,4.8,6.2,850.0,122500.0
168,2.24,36211.0,11.5,73.2,1.0,7.3,3.9,2.8,7.1,4.8,0.0,1.6,2.0,8.6,10.4,20.0,17.4,16.7,7.8,15.5,5.3,712.0,96100.0
170,2.71,66074.0,22.2,78.5,1.9,0.9,1.3,3.0,5.0,5.5,2.6,5.7,28.3,21.3,8.5,12.6,8.1,7.9,2.0,3.1,6.1,1078.0,239000.0
171,2.92,35625.0,0.0,68.5,0.5,5.0,0.0,0.0,0.0,0.0,1.0,2.5,13.5,21.0,13.0,15.0,13.5,5.0,7.5,8.0,5.5,490.0,118300.0
172,2.7,40125.0,15.2,73.7,0.4,0.2,5.8,3.6,0.0,0.0,0.0,1.5,4.3,16.9,10.9,17.5,17.5,16.9,3.8,10.7,5.5,660.0,85700.0
174,2.3,32074.0,3.0,70.9,2.2,4.2,7.8,5.2,4.0,2.4,0.0,0.7,3.3,11.7,15.7,24.1,13.5,12.8,9.8,8.3,5.5,505.0,79100.0
175,2.44,34113.0,0.0,52.2,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3,14.6,25.2,19.1,13.6,8.2,0.0,0.0,5.5,772.0,85200.0
178,2.75,23750.0,9.7,63.0,0.9,0.0,11.0,2.7,0.0,3.5,0.0,0.6,5.8,27.9,20.0,14.6,15.9,8.4,3.2,3.7,5.1,527.0,72800.0
179,2.1,27057.0,12.2,71.9,0.7,2.9,1.5,2.1,1.4,0.6,1.4,0.8,13.7,12.5,20.4,9.8,7.7,13.4,10.2,10.2,5.2,336.0,67600.0
180,2.16,37843.0,9.8,65.2,1.0,3.9,7.4,10.2,5.2,4.7,0.8,2.8,8.3,11.0,11.0,21.3,15.1,17.4,6.7,5.7,5.4,607.0,126600.0
181,2.21,42468.0,22.4,67.8,1.2,0.9,7.4,4.5,3.1,8.1,1.5,3.9,37.1,29.3,12.6,8.2,3.9,1.9,0.7,1.1,5.6,785.0,161200.0
182,2.6,51924.0,9.1,90.1,0.6,0.6,1.9,2.4,2.8,0.6,0.0,1.1,1.1,2.8,9.0,35.1,27.9,18.5,3.2,1.3,6.4,811.0,120500.0
183,3.05,28047.0,0.0,45.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,28.2,17.5,21.4,16.9,7.0,2.0,3.1,4.8,569.0,29500.0
