,ave_household_size,median_income,rental_vacancy_rate,p_units_1_detached,p_units_1,p_units_2,p_units_34,p_units_59,p_units_10,p_units_20,p_built_2014,p_built_2010,p_built_2000,p_built_1990,p_built_1980,p_built_1970,p_built_1960,p_built_1950,p_built_1940,p_built_1930,median_rooms,median_rent,median-value
28205,2.35,33864.0,14.9,67.4,0.6,0.4,4.8,5.3,3.2,2.4,0.0,1.8,9.4,9.4,11.2,11.3,11.2,3.5,8.4,33.9,5.8,483.0,69000.0
28206,2.78,45000.0,9.0,78.8,0.0,5.1,0.0,4.0,8.1,0.0,0.0,0.0,9.2,4.0,5.5,7.0,17.2,15.8,8.4,33.0,5.6,491.0,85700.0
28207,2.38,22857.0,0.0,78.7,2.1,0.0,7.4,0.0,0.0,0.0,0.0,0.0,7.4,9.6,2.1,5.3,2.1,23.4,13.8,36.2,5.3,590.0,92500.0
28208,2.04,48972.0,8.1,66.2,3.0,7.2,0.3,6.7,5.0,7.1,2.8,1.3,6.7,15.2,10.2,20.2,23.5,14.6,5.3,0.4,6.2,792.0,142900.0
28209,2.63,35313.0,5.0,84.3,0.0,1.7,0.6,4.1,0.4,0.0,0.0,0.7,1.5,7.2,4.8,5.2,10.7,16.3,14.8,38.8,6.1,611.0,57300.0
28211,2.34,36823.0,10.3,68.6,2.5,0.2,9.1,7.7,1.5,0.8,0.0,0.2,6.6,14.1,11.6,14.0,14.7,7.4,9.3,22.0,5.8,650.0,120100.0
28212,2.22,35500.0,4.5,76.1,0.0,1.2,8.8,4.0,0.0,0.0,0.0,0.0,10.4,8.0,15.1,12.4,10.0,19.9,9.2,15.1,5.6,650.0,106300.0
28213,2.05,22225.0,4.3,62.4,0.5,5.1,6.3,6.6,1.8,9.4,1.0,1.0,5.2,5.1,8.7,18.1,10.8,8.7,7.3,34.2,5.5,524.0,90700.0
28215,2.11,23750.0,8.6,56.6,10.2,9.2,5.9,0.7,8.5,5.4,0.0,0.0,4.8,3.9,6.3,15.9,1.3,5.9,11.8,50.1,5.8,393.0,45600.0
28216,2.26,68182.0,0.0,68.2,1.9,3.5,5.0,12.8,0.0,1.2,1.2,6.7,11.7,19.4,27.0,19.5,6.7,4.1,0.0,3.8,6.5,742.0,162000.0
28217,2.85,25000.0,0.0,74.4,0.0,8.9,2.3,0.0,0.0,0.8,0.0,0.0,0.0,3.5,3.9,19.0,7.0,16.3,12.0,38.4,6.1,475.0,73500.0
28218,2.28,42857.0,11.3,91.6,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,3.8,2.7,3.8,13.0,15.6,32.8,9.9,18.3,6.1,748.0,83800.0
28220,2.34,51492.0,13.9,73.3,2.8,0.0,8.2,4.8,1.6,2.0,0.8,1.5,8.4,16.1,10.6,20.1,12.8,12.2,7.7,9.8,5.5,777.0,142100.0
28221,2.41,52500.0,18.0,87.3,1.8,0.0,0.7,2.2,6.1,0.0,0.0,2.2,2.9,13.6,9.0,22.4,24.8,12.1,7.9,5.3,5.5,800.0,147500.0
28222,2.26,31122.0,2.6,74.0,0.0,5.8,4.4,7.4,0.0,4.7,0.0,0.0,2.9,2.5,8.8,18.5,21.7,19.6,13.5,12.6,5.5,415.0,80800.0
28223,2.4,42672.0,18.1,97.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,6.4,30.5,0.0,13.8,13.8,3.9,23.2,5.1,584.0,73300.0
