,poverty,ave_household_size,p_highschool_plus,p_bachelors_plus,p_native_born,p_unemployed,p_occ_business_science_art,p_occ_service,p_occ_sales_office,p_occ_resources_construction,p_occ_production_transport,med_household_income,mean_household_income,p_household_owner_occupied,p_household_renter_occupied,p_grapi_15,p_grapi_15-19.9,p_grapi_20-24.9,p_grapi_25-29.9,p_grapi_30-34.9,p_grapi_35,total_pop,p_race_white,p_race_black,p_race_am_indian,p_race_asian,p_race_nat_hawaiian_pac_islander,p_race_other,p_race_hispanic
23388,0.0,2.34,85.0,24.8,96.7,7.0,35.8,14.7,26.2,8.1,15.2,47280.0,62987.0,62.2,37.8,18.5,16.3,13.7,12.2,7.5,31.7,20521,83.1,15.0,0.3,1.5,0.3,1.8,3.3
23389,1.0,2.95,57.9,7.9,94.9,15.9,13.3,26.5,24.8,3.4,31.9,35000.0,36359.0,76.4,23.6,2.4,10.6,33.8,6.8,8.7,37.7,2980,69.7,25.6,0.3,0.7,0.2,6.5,8.0
23390,1.0,2.5,59.4,8.0,97.7,22.7,19.7,30.3,19.7,3.2,27.1,15778.0,21574.0,52.8,47.2,4.3,15.8,5.8,11.5,15.8,46.8,854,4.8,89.0,0.0,4.2,0.0,2.0,7.5
23391,0.0,2.6,76.8,12.4,98.6,22.9,29.5,25.0,23.9,2.2,19.3,37340.0,49721.0,79.5,20.5,23.9,17.4,0.0,0.0,0.0,58.7,1271,47.3,52.7,0.0,0.0,0.0,3.5,3.5
23392,1.0,2.2,76.3,9.6,93.1,10.2,17.3,24.7,16.6,7.3,34.2,23487.0,39899.0,47.8,52.2,10.6,9.4,6.4,14.6,5.7,53.2,4738,37.6,57.6,2.0,0.6,0.0,5.1,11.0
23393,1.0,2.87,70.6,17.4,99.5,10.8,23.7,21.9,24.0,2.9,27.5,19807.0,35604.0,48.0,52.0,7.7,17.0,7.4,0.0,29.4,38.4,2476,29.9,70.9,0.0,0.0,0.0,0.0,0.0
23394,0.0,1.9,98.9,64.2,98.5,7.2,41.2,14.9,30.4,5.2,8.2,80833.0,99400.0,94.4,5.6,0.0,50.0,0.0,37.5,0.0,12.5,582,98.8,0.9,2.2,0.9,0.0,0.0,0.0
23395,1.0,2.36,83.3,10.4,100.0,8.6,26.4,13.5,20.9,14.2,25.0,28472.0,37000.0,68.9,31.1,0.0,37.3,0.0,3.4,20.3,39.0,479,47.4,52.6,0.0,0.0,0.0,0.0,0.0
23396,0.0,2.86,86.4,25.3,94.0,4.6,35.1,10.2,22.2,21.5,11.0,52000.0,65953.0,80.6,19.4,7.9,39.6,18.8,0.0,1.0,32.7,1550,82.1,9.5,0.0,3.4,0.0,7.4,8.6
23397,1.0,2.87,92.0,7.5,91.1,8.4,3.6,18.1,36.3,22.6,19.4,39250.0,54941.0,72.8,27.2,45.8,0.0,0.0,3.6,0.0,50.5,3321,64.6,35.4,0.0,0.0,0.0,0.0,16.4
23398,1.0,2.28,75.0,17.5,98.9,9.8,28.4,21.6,12.2,13.5,24.3,30000.0,40980.0,63.8,36.3,28.0,20.0,24.0,0.0,0.0,28.0,182,28.0,70.9,1.1,0.0,0.0,1.1,1.1
23399,1.0,2.31,86.1,25.0,99.4,10.0,26.3,17.0,26.8,9.8,20.1,25000.0,36487.0,77.2,22.8,4.1,8.2,0.0,34.7,28.6,24.5,620,59.5,44.7,0.0,1.3,0.0,0.0,0.0
23400,0.0,2.7,73.2,7.0,95.9,0.0,19.7,16.7,19.1,26.1,18.5,43313.0,48666.0,64.3,35.7,0.0,0.0,9.6,22.9,0.0,67.5,802,90.5,7.1,0.0,0.0,0.0,7.9,13.2
23401,1.0,2.83,76.8,9.4,96.7,17.9,22.8,28.7,16.2,22.1,10.1,26302.0,37344.0,64.7,35.3,11.3,2.4,10.5,27.5,14.2,34.0,2726,15.2,81.0,0.0,0.0,0.0,3.8,7.0
23402,1.0,2.49,81.2,7.7,100.0,10.3,23.2,9.6,25.6,9.4,32.1,29853.0,41519.0,67.7,32.3,15.6,3.1,0.0,10.2,31.3,39.8,1464,42.3,59.9,0.0,0.4,0.0,0.0,0.0
23403,1.0,2.26,67.2,9.0,99.4,7.4,20.7,18.4,25.3,14.9,20.7,27300.0,37756.0,72.5,27.5,4.8,0.0,61.9,0.0,9.5,23.8,312,45.8,54.2,0.0,0.0,0.0,0.0,0.0
23404,1.0,2.76,85.5,17.1,97.6,8.4,28.6,13.7,20.7,10.2,26.8,21964.0,33599.0,50.9,49.1,17.2,6.1,10.2,3.3,16.0,47.1,1884,15.1,84.9,0.0,0.0,0.0,0.0,0.0
